name,email,phone,score,attendance,passed,dropped_reason
Marcus Bryan,marcusbryan@yahoo.com,(0117)4960897,75,85,True,
Teresa Thornton,teresathornton@gmail.com,+44(0)292018721,88,69,False,Low attendance
Clare Green,claregreen@hotmail.com,(0191)4960578,54,87,False,Low score
Peter Hartley,peterhartley@yahoo.com,028 9018917,94,99,True,
Brett Griffiths,brettgriffithsl@gmail.com,+44(0)1164960463,67,81,True,
Jake Smith,jakesmith@yahoo.com,0113 496 0637,84,67,False,Low attendance
Vincent Yates,vincentyates@yahoo.com,+442074960759,51,85,False,Low score
Kerry Williams,kerrywilliams@gmail.com,0306 999 0322,91,95,True,
Sally Anderson,sallyanderson@gmail.com,+44118 496 0058,57,88,False,Low score
Frances Knight,francesknight@yahoo.com,(0131) 4960375,92,71,True,
Charlotte Porter,charlotteporter@yahoo.com,+441174960847,68,80,True,
Owen Kennedy,owenkennedy@yahoo.com,(0117)4960957,80,69,False,Low attendance
Elizabeth Thornton,elizabeththornton@yahoo.com,(0116) 496 0629,97,85,True,
Leanne Coleman,leannecoleman@gmail.com,0161 4960659,66,88,True,
Cheryl Wilson,cherylwilson@yahoo.com,(0113) 496 0284,59,72,False,Low score
Bethan Wallace,bethanwallace@hotmail.com,+44(0)1174960076,86,75,True,
Kathryn Lowe,kathrynlowe@yahoo.com,+44141 4960946,58,69,False,Low score and Low attendance
Jay Green,jaygreen@hotmail.com,+44(0)114 496 0280,65,82,True,
Damien Reed,damienreed@yahoo.com,+44(0)117 4960461,72,99,True,
Colin Stewart,colinstewart@yahoo.com,+44808 157 0738,77,100,True,
Joyce Harrison,joyceharrison@gmail.com,+44(0)20 74960738,77,67,False,Low attendance
Lorraine Jones,lorrainejones@yahoo.com,(0151)4960296,75,83,True,
Bethany Dunn,bethanydunn@hotmail.com,+44(0)3069990149,78,75,True,
Carol Green,carolgreen@gmail.com,0151 496 0512,88,78,True,
Francesca Gray,francescagray@yahoo.com,+443069990654,93,81,True,
Jane Khan,janekhan@gmail.com,0121 496 0581,62,82,True,
Sylvia Faulkner,sylviafaulkner@yahoo.com,08081570414,50,96,False,Low score
Bethan Butcher,bethanbutcher@gmail.com,+44(0)191 496 0388,85,85,True,
Trevor Williams,trevorwilliams@yahoo.com,(0808) 1570881,57,71,False,Low score
