name,email,phone,score,attendance,passed,dropped_reason
Jayne Brown,jaynebrown@gmail.com,(0114) 4960032,64,93,True,
Tracey Abbott,traceyabbott@gmail.com,(0191) 496 0629,51,78,False,Low score
Aimee Scott,aimeescott@yahoo.com,0306 999 0388,93,89,True,
Dean Warren,deanwarren@gmail.com,(0115) 4960179,84,100,True,
Jacob Rhodes,jacobrhodes@yahoo.com,0117 4960716,85,92,True,
Donald Smith,donaldsmith@gmail.com,+441214960180,99,93,True,
Jade Patel,jadepatel@hotmail.com,(01632) 960 805,74,74,True,
Abbie Skinner,abbieskinner@hotmail.com,+443069990186,93,79,True,
Jane Patel,janepatel@yahoo.com,+44(0)141 4960630,91,67,False,Low attendance
Gavin Jackson,gavinjackson@yahoo.com,+44(0)29 2018 0936,51,93,False,Low score
Sharon Mitchell,sharonmitchell@gmail.com,(0131)4960533,59,99,False,Low score
Tony Williams,tonywilliams@gmail.com,+44(0)131 496 0817,99,87,True,
Olivia Fletcher,oliviafletcher@gmail.com,(0116) 4960839,85,98,True,
Abbie Evans,abbieevans@hotmail.com,(020) 7496 0903,79,72,True,
Sophie Smith,sophiesmith@hotmail.com,(029) 2018858,83,73,True,
Cheryl Richards,cherylrichards@yahoo.com,01514960114,55,84,False,Low score
Barbara Simpson,barbarasimpson@yahoo.com,+44(0)1414960972,92,87,True,
June Griffiths,junegriffiths@gmail.com,(0191)4960921,72,70,True,
Daniel Ball,danielball@hotmail.com,+441174960916,83,73,True,
Bernard Lawrence,bernardlawrence@yahoo.com,+44113 4960822,50,70,False,Low score
Wayne Scott,waynescott@gmail.com,+44131 4960714,74,89,True,
Trevor Phillips,trevorphillips@gmail.com,+44141 4960899,90,96,True,
Lewis Smith,lewissmith@hotmail.com,+44(0)114 4960272,89,69,False,Low attendance
Amy Stephens,amystephens@gmail.com,0141 496 0157,52,91,False,Low score
Russell Allen,russellallen@hotmail.com,+44(0)909 879 0355,79,82,True,
Katie Clements,katieclements@gmail.com,(0191) 496 0500,81,84,True,
Gillian Smith,gilliansmith@yahoo.com,(0151) 4960456,96,90,True,
George Khan,georgekhan@hotmail.com,+44113 4960527,91,65,False,Low attendance
Patricia White,patriciawhite@gmail.com,+44(0)161 496 0926,93,90,True,
Alexandra Flynn,alexandraflynn@yahoo.com,+44(0)808 157 0421,54,96,False,Low score
Eleanor Hawkins,eleanorhawkins@hotmail.com,+448081570965,75,91,True,
Marcus Hammond,marcushammond@hotmail.com,+44(0)3069990481,67,74,True,
Georgina Hall,georginahall@yahoo.com,+44306 999 0848,78,72,True,
Shannon Bryan,shannonbryan@yahoo.com,+44(0)1914960040,90,76,True,
Jasmine Morris,jasminemorris@gmail.com,01314960704,82,85,True,
Julia Morris,juliamorris@gmail.com,(0131) 496 0489,60,85,True,
Jill White,jillwhite@gmail.com,0131 496 0055,95,97,True,
Jessica Gardner,jessicagardner@yahoo.com,01414960100,55,79,False,Low score
Nathan Davies,nathandavies@hotmail.com,01214960360,79,65,False,Low attendance
Joshua Newton,joshuanewton@yahoo.com,(0909)8790593,94,96,True,
Eric Turner,ericturner@yahoo.com,(0161)4960221,85,93,True,
Tracy Bond,tracybond@yahoo.com,+441632 960312,97,99,True,
Eleanor Cooper,eleanorcooper@gmail.com,+44(0)117 496 0572,57,82,False,Low score
Hannah Kirby,hannahkirby@gmail.com,+44(0)131 4960129,92,76,True,
Donald Charlton,donaldcharlton@gmail.com,0116 496 0440,76,71,True,
Lisa Pugh,lisapugh@yahoo.com,+448081570542,71,66,False,Low attendance
Hannah King,hannahking@hotmail.com,(029)2018848,58,73,False,Low score
Hilary Barry,hilarybarry@yahoo.com,(0306)9990910,69,65,False,Low attendance
Francis Carter,franciscarter@hotmail.com,0306 999 0194,57,76,False,Low score
Charlene Davidson,charlenedavidson@yahoo.com,01914960876,63,84,True,
Georgia Rose,georgiarose@gmail.com,+44(0)29 2018 0228,72,78,True,
