name,email,phone,score,attendance,passed,dropped_reason
Martyn Bruce,martynbruce@yahoo.com,(0808) 1570350,96,65,False,Low attendance
Jay Warren,jaywarren@hotmail.com,+44(0)131 496 0336,97,83,True,
Albert Forster,albertforster@gmail.com,(0131) 496 0010,67,92,True,
Barbara Davis,barbaradavis@hotmail.com,(0131) 496 0574,77,70,True,
William Smith,williamsmith@gmail.com,(0131) 4960840,73,100,True,
Glen Parsons,glenparsons@hotmail.com,0114 4960832,90,80,True,
Christine Dickinson,christinedickinson@hotmail.com,+4429 2018611,79,94,True,
Julia Flynn,juliaflynn@hotmail.com,+441164960922,73,77,True,
Richard Clark,richardclark@yahoo.com,+44(0)141 4960152,54,65,False,Low score and Low attendance
Francesca White,francescawhite@yahoo.com,+44(0)151 496 0035,95,77,True,
Leslie Morley,lesliemorley@yahoo.com,(0151)4960446,52,95,False,Low score
Stewart Pope,stewartpope@hotmail.com,(0808)1570246,86,92,True,
Dennis Oliver,dennisoliver@yahoo.com,+44(0)115 496 0552,65,81,True,
Joe Walsh,joewalsh@yahoo.com,(0116) 4960217,77,83,True,
Helen Brown,helenbrown@gmail.com,+44(0)191 4960123,64,66,False,Low attendance
Jemma Arnold,jemmaarnold@hotmail.com,+44161 496 0597,74,87,True,
Martyn Phillips,martynphillips@hotmail.com,+441214960505,69,94,True,
Jack Parker,jackparker@yahoo.com,+44121 4960852,53,76,False,Low score
Richard Chamberlain,richardchamberlain@yahoo.com,+44161 4960393,60,88,True,
Ben Lawson,benlawson@gmail.com,01614960559,93,85,True,
Dean White,deanwhite@hotmail.com,+44(0)141 496 0850,93,69,False,Low attendance
Carolyn Armstrong,carolynarmstrong@gmail.com,+44(0)808 157 0068,93,67,False,Low attendance
Louise Pritchard,louisepritchard@yahoo.com,+44292018134,87,100,True,
Gregory Jones,gregoryjonesG@yahoo.com,+44808 1570129,80,97,True,
Jacob Slater,jacobslater@gmail.com,+44(0)131 496 0584,60,96,True,
Craig Jones,craigjones@hotmail.com,(01632) 960 488,88,68,False,Low attendance
Beth Walsh,bethwalsh@yahoo.com,(0131) 496 0134,77,96,True,
Lisa Lewis,lisalewis@yahoo.com,(028) 9018324,82,95,True,
Molly Webb,mollywebb@yahoo.com,+44131 496 0312,81,86,True,
Ruth Webster,ruthwebster@hotmail.com,(0306)9990563,54,100,False,Low score
Stewart Hart,stewarthart@yahoo.com,+44(0)808 157 0506,83,97,True,
Debra Lloyd,debralloyd@yahoo.com,+44121 496 0125,54,85,False,Low score
Glenn Duncan,glennduncan@gmail.com,(01632) 960609,58,97,False,Low score
Marie Williamson,mariewilliamson@gmail.com,+44306 999 0962,50,85,False,Low score
Clifford Daniels,clifforddaniels@hotmail.com,(029)2018301,75,72,True,
Mitchell Stanley,mitchellstanley@yahoo.com,+44(0)9098790876,72,85,True,
Ann Marshall,annmarshall@hotmail.com,+44(0)114 4960617,81,72,True,
Mitchell Greenwood,mitchellgreenwood@gmail.com,+44121 496 0332,66,78,True,
Aaron Spencer,aaronspencer@gmail.com,+44(0)1184960274,60,80,True,
Peter Parkes,peterparkes@yahoo.com,(0909) 8790907,68,66,False,Low attendance
Tracy Higgins,tracyhiggins@yahoo.com,+44(0)1632 960 829,52,91,False,Low score
Eileen Green,eileengreen@yahoo.com,(0191) 496 0827,96,90,True,
Adrian Wright,adrianwright@hotmail.com,+44(0)117 496 0066,98,95,True,
Dale Sutton,dalesutton@hotmail.com,+44(0)161 496 0044,82,92,True,
Katie Shah,katieshah@hotmail.com,(0117) 496 0958,83,74,True,
Samantha Ali,samanthaali@yahoo.com,+44(0)151 4960898,50,100,False,Low score
Brandon Jones,brandonjones@hotmail.com,+4420 7496 0738,55,67,False,Low score and Low attendance
George Burgess,georgeburgess@yahoo.com,(0115) 4960298,61,93,True,
Ellie Peters,elliepeters@yahoo.com,+44117 496 0991,90,67,False,Low attendance
Alison Jones,alisonjones@yahoo.com,0289018740,88,86,True,
Gregory Williams,gregorywilliams@yahoo.com,029 2018 0121,84,89,True,
Jonathan Sheppard,jonathansheppard@hotmail.com,0808 157 0971,84,80,True,
Rachael Powell,rachaelpowell@gmail.com,(0161) 4960040,100,86,True,
Cameron Armstrong,cameronarmstrong@hotmail.com,+44115 4960900,59,87,False,Low score
Garry Austin,garryaustin@hotmail.com,+44(0)28 9018 0711,96,67,False,Low attendance
Dean Williams,deanwilliams@gmail.com,(0121)4960437,60,84,True,
Cheryl Clements,cherylclements@gmail.com,0118 4960444,84,95,True,
Andrew Riley,andrewriley@yahoo.com,01214960568,75,89,True,
Lorraine Chadwick,lorrainechadwick@gmail.com,+44(0)1314960892,74,75,True,
Pauline Price,paulineprice@hotmail.com,01414960311,91,72,True,
Kelly Wilson,kellywilson@yahoo.com,(0116)4960686,59,73,False,Low score
Frank Riley,frankriley@gmail.com,(0114) 4960472,84,83,True,
Dawn Phillips,dawnphillips@hotmail.com,+44115 4960660,52,90,False,Low score
Ashley Mitchell,ashleymitchell@yahoo.com,+44113 4960629,59,72,False,Low score
Melissa Mistry,melissamistry@gmail.com,(0161) 496 0905,92,74,True,
Wayne Dawson,waynedawson@hotmail.com,+449098790094,53,97,False,Low score
Bradley Bull,bradleybull@gmail.com,(0113) 496 0159,70,90,True,
Heather Naylor,heathernaylor@yahoo.com,(0114) 496 0797,66,91,True,
Sarah Fletcher,sarahfletcher@gmail.com,(0113) 4960872,94,77,True,
Carol Ferguson,carolferguson@gmail.com,+44(0)121 496 0826,53,94,False,Low score
Kyle Williams,kylewilliams@hotmail.com,(0116)4960672,68,92,True,
Clifford Kelly,cliffordkelly@yahoo.com,028 9018 0045,98,87,True,
Charles Brown,charlesbrown@hotmail.com,+44131 496 0546,74,77,True,
John Hilton,johnhilton@hotmail.com,+44118 4960802,59,79,False,Low score
Mark Clarke,markclarke@yahoo.com,(0141) 4960980,84,75,True,
Kieran McCarthy,kieranmccarthy@hotmail.com,+44(0)20 7496 0648,93,72,True,
Dominic Gill,dominicgill@yahoo.com,+44(0)1134960952,65,69,False,Low attendance
Stuart Hughes,stuarthughes@yahoo.com,+44161 496 0071,63,66,False,Low attendance
George Smith,georgesmith@gmail.com,(0161)4960177,85,65,False,Low attendance
Denise West,denisewest@gmail.com,+44(0)1134960498,75,93,True,
Rosemary Thompson,rosemarythompson@hotmail.com,+44113 496 0530,63,80,True,
Rachael Cox,rachaelcox@gmail.com,+44116 496 0602,64,72,True,
Jack Griffiths,jackgriffiths@gmail.com,+44(0)131 4960283,59,84,False,Low score
Wayne Martin,waynemartin@yahoo.com,+449098790793,58,72,False,Low score
Albert Murphy,albertmurphy@yahoo.com,+44(0)3069990024,81,87,True,
Bradley Davey,bradleydavey@gmail.com,+441184960392,76,99,True,
Richard Dyer,richarddyer@hotmail.com,(0191) 4960520,62,94,True,
Stewart Fleming,stewartfleming@gmail.com,+4428 9018 0897,77,96,True,
Bryan Webb,bryanwebb@yahoo.com,+44(0)131 496 0005,98,95,True,
Mitchell Marshall,mitchellmarshall@yahoo.com,0151 496 0134,61,91,True,
Alexander Davey,alexanderdavey@gmail.com,0115 496 0483,54,99,False,Low score
Sally Marsh,sallymarsh@hotmail.com,0161 4960888,69,98,True,
Deborah Hughes,deborahhughes@gmail.com,+44121 496 0833,84,96,True,
Adrian Wilson,adrianwilson@gmail.com,+44121 4960134,54,97,False,Low score
Robin Price,robinprice@gmail.com,+44(0)131 4960035,74,80,True,
Fiona Russell,fionarussell@gmail.com,01314960113,62,66,False,Low attendance
Sandra Ahmed,sandraahmed@gmail.com,01154960588,68,77,True,
Ann Payne,annpayne@hotmail.com,01414960085,50,88,False,Low score
Tom Edwards,tomedwards@gmail.com,(0113) 4960526,51,68,False,Low score and Low attendance
Nigel Moss,nigelmoss@hotmail.com,(0113) 4960335,92,65,False,Low attendance
Barbara Brown,barbarabrown@gmail.com,(0141) 496 0256,56,93,False,Low score
Frances Walsh,franceswalsh@gmail.com,(0114) 4960680,87,75,True,
Andrea Parker,andreaparker@gmail.com,01914960173,51,95,False,Low score
Natasha Hilton,natashahilton@yahoo.com,+44151 496 0716,71,79,True,
Jane Jones,janejonesX@hotmail.com,(020)74960254,53,97,False,Low score
Bryan Marshall,bryanmarshall@gmail.com,01164960466,72,97,True,
Sarah Elliott,sarahelliott@yahoo.com,+44(0)131 4960684,71,96,True,
Christopher Sanders,christophersanders@hotmail.com,+44(0)113 496 0489,51,100,False,Low score
Kenneth Rose,kennethrose@yahoo.com,01164960077,75,89,True,
Roger Smith,rogersmith@hotmail.com,+44(0)113 4960229,75,97,True,
Dominic Parry,dominicparry@yahoo.com,+44(0)115 496 0054,87,65,False,Low attendance
Joe Smith,joesmith@hotmail.com,0115 496 0560,70,99,True,
Hannah Jones,hannahjonesg@yahoo.com,(0116) 4960951,62,87,True,
Hazel Williamson,hazelwilliamson@hotmail.com,+44306 999 0261,74,88,True,
Hayley Morris,hayleymorris@yahoo.com,(0808) 1570179,59,92,False,Low score
Daniel Reed,danielreed@yahoo.com,+44(0)117 4960943,59,92,False,Low score
Holly Jones,hollyjones@yahoo.com,(0191)4960953,50,71,False,Low score
Jenna Cartwright,jennacartwright@hotmail.com,(0116) 4960656,62,77,True,
Steven Wood,stevenwood@gmail.com,+44(0)116 4960305,72,88,True,
Leonard Smith,leonardsmith@yahoo.com,01144960864,61,90,True,
Glen Wilson,glenwilson@yahoo.com,+44289018488,98,91,True,
Trevor Heath,trevorheath@hotmail.com,0306 9990641,68,91,True,
Peter Hanson,peterhanson@yahoo.com,+44117 4960913,86,86,True,
Phillip Cunningham,phillipcunningham@hotmail.com,02074960209,86,90,True,
Kate Elliott,kateelliott@gmail.com,+441614960412,70,86,True,
Charlotte Evans,charlotteevans@gmail.com,(020) 74960329,67,95,True,
Mohamed Chandler,mohamedchandler@gmail.com,(0115) 496 0463,54,72,False,Low score
Donald Davis,donalddavis@gmail.com,+44(0)118 4960509,62,80,True,
Arthur Buckley,arthurbuckley@yahoo.com,(01632) 960702,63,65,False,Low attendance
Hayley Warren,hayleywarren@hotmail.com,+44(0)2074960414,66,94,True,
Callum Baxter,callumbaxter@gmail.com,0115 496 0725,73,95,True,
Karen Payne,karenpayne@hotmail.com,(0141) 496 0887,96,76,True,
Christian Potts,christianpotts@hotmail.com,+441614960399,62,88,True,
Donna Oliver,donnaoliver@gmail.com,(028)9018188,60,91,True,
Connor Green,connorgreen@gmail.com,+44117 496 0705,71,74,True,
Nicola Morton,nicolamorton@hotmail.com,+44(0)117 496 0319,53,85,False,Low score
Pauline Owens,paulineowens@yahoo.com,0113 4960856,84,84,True,
Alex Henderson,alexhenderson@hotmail.com,0116 4960099,57,82,False,Low score
Bradley Smith,bradleysmith@yahoo.com,+44909 8790810,63,96,True,
Julia Kelly,juliakelly@hotmail.com,+44(0)1174960070,88,78,True,
Jasmine Wright,jasminewright@hotmail.com,+44191 4960567,76,85,True,
Rachael Holmes,rachaelholmes@hotmail.com,(01632) 960343,88,66,False,Low attendance
Kyle Williams,kylewilliams@yahoo.com,+44113 4960186,95,76,True,
Roy Cox,roycox@hotmail.com,01174960143,59,100,False,Low score
Elliott Archer,elliottarcher@yahoo.com,(0117) 496 0274,98,89,True,
Sheila Burrows,sheilaburrows@yahoo.com,0306 9990003,94,70,True,
Rosie Faulkner,rosiefaulkner@yahoo.com,+44(0)292018251,64,78,True,
Gary O'Neill,garyo'neill@yahoo.com,0289018230,99,77,True,
Leigh White,leighwhite@gmail.com,028 9018 0702,52,98,False,Low score
Lesley Holt,lesleyholt@hotmail.com,+441914960987,53,67,False,Low score and Low attendance
Heather Wilson,heatherwilson@yahoo.com,0115 4960875,100,83,True,
Leanne Smith,leannesmith@hotmail.com,(0141) 4960893,65,74,True,
Stanley Davidson,stanleydavidson@hotmail.com,01414960940,88,74,True,
Alexandra O'Brien,alexandrao'brien@gmail.com,029 2018519,74,93,True,
Sylvia Roberts,sylviaroberts@gmail.com,+44151 496 0130,90,95,True,
Mohamed Gill,mohamedgill@yahoo.com,(0117) 4960733,51,68,False,Low score and Low attendance
Ronald Hale,ronaldhale@yahoo.com,+44(0)1914960108,82,73,True,
Stephen Jackson,stephenjackson@yahoo.com,+441914960025,78,72,True,
Marian Kirk,mariankirk@hotmail.com,(0131)4960746,81,71,True,
Iain Hardy,iainhardy@hotmail.com,(0117) 4960468,72,96,True,
Dale Fuller,dalefuller@yahoo.com,+44(0)161 4960174,70,95,True,
Bernard Parsons,bernardparsons@gmail.com,+44(0)29 2018 0597,82,79,True,
Bryan Anderson,bryananderson@yahoo.com,+441164960165,95,67,False,Low attendance
Ashley Davidson,ashleydavidson@gmail.com,+441134960248,55,94,False,Low score
Francis Buckley,francisbuckley@hotmail.com,(0113)4960472,62,78,True,
Samuel Jackson,samueljackson@gmail.com,0191 498 0504,59,71,False,Low score
Shirley Burns,shirleyburns@gmail.com,+44(0)141 496 0635,64,78,True,
Nicola Bull,nicolabull@gmail.com,0151 4960004,51,66,False,Low score and Low attendance
Francis Smith,francissmith@yahoo.com,+44118 496 0451,70,69,False,Low attendance
Teresa Barker,teresabarker@yahoo.com,+44(0)20 74960500,95,86,True,
Martyn Hammond,martynhammond@yahoo.com,+44(0)141 4960852,69,92,True,
Dominic O'Sullivan,dominico'sullivan@hotmail.com,+44114 496 0817,79,91,True,
Ronald Doyle,ronalddoyle@yahoo.com,(0131)4960728,97,87,True,
Phillip Short,phillipshort@gmail.com,01144960963,93,65,False,Low attendance
Denis Bell,denisbell@gmail.com,+4429 2018481,65,83,True,
Howard Williams,howardwilliams@hotmail.com,01632960139,85,78,True,
Kelly Sutton,kellysutton@yahoo.com,+44(0)29 2018596,53,85,False,Low score
Kerry Mason,kerrymason@yahoo.com,(0909)8790360,51,98,False,Low score
Hannah Dunn,hannahdunn@gmail.com,+441164960940,95,71,True,
Frank Stanley,frankstanley@gmail.com,+44(0)115 4960185,90,81,True,
Edward Reed,edwardreed@gmail.com,0116 496 0510,52,85,False,Low score
Jessica Wilson,jessicawilson@yahoo.com,+44(0)1164960211,67,67,False,Low attendance
Amber Davies,amberdavies@yahoo.com,(0141) 4960576,67,76,True,
Ian Mason,ianmason@hotmail.com,(0141) 4960667,86,78,True,
Scott Patel,scottpatel@yahoo.com,+44306 999 0165,55,78,False,Low score
Rosemary Campbell,rosemarycampbell@yahoo.com,+44(0)29 2018 0977,73,98,True,
Lindsey Lee,lindseylee@yahoo.com,01514960595,78,89,True,
Shaun Rhodes,shaunrhodes@hotmail.com,+44113 496 0771,85,94,True,
Beth Norman,bethnorman@yahoo.com,0292018585,60,85,True,
Dale Stewart,dalestewart@hotmail.com,+44(0)114 496 0583,51,76,False,Low score
